"","disease","state","year","weeks_reporting","count","population"
"187","Pertussis","New York",1986,41,98,17651150
"188","Pertussis","New York",1987,16,67,17722172
"189","Pertussis","New York",1988,39,215,17803734
"190","Pertussis","New York",1989,27,99,17893839
"191","Pertussis","New York",1990,0,0,17990455
"192","Pertussis","New York",1991,9,59,18091650
"193","Pertussis","New York",1992,33,96,18195984
"194","Pertussis","New York",1993,34,370,18302118
"195","Pertussis","New York",1994,45,347,18408682
"196","Pertussis","New York",1995,44,225,18514274
"197","Pertussis","New York",1996,47,568,18617460
"198","Pertussis","New York",1997,44,123,18716776
"199","Pertussis","New York",1998,31,238,18810729
"200","Pertussis","New York",1999,38,546,18897802
"201","Pertussis","New York",2000,19,212,18976457
"202","Pertussis","New York",2001,35,118,19045556
"203","Pertussis","New York",2002,41,375,19105612
"204","Pertussis","New York",2003,0,0,19157572
"205","Pertussis","New York",2004,30,1319,19202409
"206","Pertussis","New York",2005,43,558,19241109
"207","Pertussis","New York",2006,49,2007,19274679
"208","Pertussis","New York",2007,49,1109,19304134
"209","Pertussis","New York",2008,44,416,19330500
"210","Pertussis","New York",2009,39,283,19354809
"211","Pertussis","New York",2010,38,808,19378102
"212","Pertussis","New York",2011,42,910,19401248
"213","Polio","New York",1928,51,947,12184134
"214","Polio","New York",1929,52,530,12397906
"215","Polio","New York",1930,51,762,12588066
"216","Polio","New York",1931,52,6192,12749102
"217","Polio","New York",1932,52,356,12882742
"218","Polio","New York",1933,52,1378,12992852
"219","Polio","New York",1934,52,234,13083613
"220","Polio","New York",1935,52,2889,13159437
"221","Polio","New York",1936,51,209,13224911
"222","Polio","New York",1937,52,685,13284755
"223","Polio","New York",1938,51,290,13343787
"224","Polio","New York",1939,51,835,13406915
"225","Polio","New York",1940,47,375,13479142
"226","Polio","New York",1941,49,1104,13564576
"227","Polio","New York",1942,48,332,13663361
"228","Polio","New York",1943,46,624,13774649
"229","Polio","New York",1944,47,5647,13897589
"230","Polio","New York",1945,46,2061,14031321
"231","Polio","New York",1946,50,1507,14174970
"232","Polio","New York",1947,51,1249,14327635
"233","Polio","New York",1948,50,1497,14488381
"234","Polio","New York",1949,46,5587,14656239
"235","Polio","New York",1950,50,4231,14830192
"236","Polio","New York",1951,49,1735,15009302
"237","Polio","New York",1952,49,2361,15193092
"238","Polio","New York",1953,48,3145,15381188
"239","Polio","New York",1954,51,2468,15573194
"240","Polio","New York",1955,49,2549,15768693
"241","Polio","New York",1956,52,804,15967244
"242","Polio","New York",1957,49,217,16168384
"243","Polio","New York",1958,50,292,16371622
"244","Polio","New York",1959,39,353,16576443
"245","Polio","New York",1960,52,280,16782304
"246","Polio","New York",1961,48,256,16988157
"247","Polio","New York",1962,48,88,17190958
"248","Polio","New York",1963,48,12,17387034
"249","Polio","New York",1964,39,10,17572556
"250","Polio","New York",1965,9,1,17743562
"251","Polio","New York",1966,0,0,17895985
"252","Polio","New York",1967,25,1,18025684
"253","Polio","New York",1968,0,0,18128492
"254","Rubella","New York",1966,49,2596,17895985
"255","Rubella","New York",1967,50,2171,18025684
"256","Rubella","New York",1968,52,4316,18128492
"257","Rubella","New York",1969,50,1950,18200269
"258","Rubella","New York",1970,50,1182,18236967
"259","Rubella","New York",1971,50,1051,18236388
"260","Rubella","New York",1972,46,409,18203314
"261","Rubella","New York",1973,49,949,18144367
"262","Rubella","New York",1974,48,420,18066218
"263","Rubella","New York",1975,49,530,17975503
"264","Rubella","New York",1976,52,790,17878766
"265","Rubella","New York",1977,51,3741,17782428
"266","Rubella","New York",1978,52,729,17692772
"267","Rubella","New York",1979,50,1496,17615962
"268","Rubella","New York",1980,49,329,17558072
"269","Rubella","New York",1981,46,162,17523755
"270","Rubella","New York",1982,49,87,17512164
"271","Rubella","New York",1983,46,117,17521154
"272","Rubella","New York",1984,40,212,17548657
"273","Rubella","New York",1985,45,206,17592652
"274","Rubella","New York",1986,43,26,17651150
"275","Rubella","New York",1987,40,11,17722172
"276","Rubella","New York",1988,39,10,17803734
"277","Rubella","New York",1989,41,76,17893839
"278","Rubella","New York",1990,0,0,17990455
"279","Rubella","New York",1991,1,2,18091650
"280","Rubella","New York",1992,0,0,18195984
"281","Rubella","New York",1993,33,32,18302118
"282","Rubella","New York",1994,25,3,18408682
"283","Rubella","New York",1995,38,13,18514274
"284","Rubella","New York",1996,43,7,18617460
"285","Rubella","New York",1997,35,27,18716776
"286","Rubella","New York",1998,32,37,18810729
"287","Rubella","New York",1999,0,0,18897802
"288","Rubella","New York",2000,19,1,18976457
"289","Rubella","New York",2001,27,1,19045556
"290","Rubella","New York",2002,0,0,19105612
"291","Smallpox","New York",1928,50,188,12184134
"292","Smallpox","New York",1929,52,289,12397906
"293","Smallpox","New York",1930,52,332,12588066
"294","Smallpox","New York",1931,52,422,12749102
"295","Smallpox","New York",1932,52,193,12882742
"296","Smallpox","New York",1933,52,3,12992852
"297","Smallpox","New York",1934,52,0,13083613
"298","Smallpox","New York",1935,52,2,13159437
"299","Smallpox","New York",1936,50,31,13224911
"300","Smallpox","New York",1937,52,56,13284755
"301","Smallpox","New York",1938,52,15,13343787
"302","Smallpox","New York",1939,52,46,13406915
"303","Smallpox","New York",1940,51,4,13479142
"304","Smallpox","New York",1941,51,0,13564576
"305","Smallpox","New York",1942,52,0,13663361
"306","Smallpox","New York",1943,52,0,13774649
"307","Smallpox","New York",1944,51,0,13897589
"308","Smallpox","New York",1945,52,0,14031321
"309","Smallpox","New York",1946,52,0,14174970
"310","Smallpox","New York",1947,49,10,14327635
"311","Smallpox","New York",1948,24,5,14488381
"312","Smallpox","New York",1949,0,0,14656239
"313","Smallpox","New York",1950,0,0,14830192
"314","Smallpox","New York",1951,0,0,15009302
"315","Smallpox","New York",1952,0,0,15193092
